date,tokenproduced,tokenconsumed,tokenleft,oneframetoken,TimeSpent,Count
2020-01-22,51,42,9,42,5 days 20:30:00,51
2020-01-23,91,87,13,78,11 days 15:30:00,100
2020-01-24,88,90,11,77,11 days 21:30:00,101
2020-01-25,89,88,12,77,11 days 17:00:00,100
2020-01-26,76,79,9,67,10 days 16:30:00,88
2020-01-27,86,85,10,76,10 days 23:00:00,95
2020-01-28,137,113,34,103,16 days 08:00:00,147
2020-01-29,186,194,26,160,25 days 16:00:00,220
2020-01-30,200,202,24,176,26 days 22:00:00,226
2020-01-31,213,210,27,186,28 days 01:30:00,237
2020-02-01,219,213,33,186,28 days 21:30:00,246
2020-02-02,240,243,30,210,32 days 04:00:00,273
2020-02-03,229,220,39,190,29 days 13:30:00,259
2020-02-04,146,172,13,133,22 days 06:30:00,185
2020-02-05,101,97,17,84,13 days 07:30:00,114
2020-02-06,81,88,10,71,11 days 14:00:00,98
2020-02-07,83,77,16,67,10 days 15:00:00,93
2020-02-08,90,97,9,81,12 days 17:30:00,106
2020-02-09,80,78,11,69,10 days 08:30:00,89
2020-02-10,95,103,3,92,13 days 03:30:00,106
2020-02-11,63,64,2,61,8 days 02:00:00,66
2020-02-12,8,9,1,7,1 days 03:30:00,10
2020-02-13,7,7,1,6,0 days 23:30:00,8
2020-02-14,11,11,1,10,1 days 11:30:00,12
2020-02-15,9,10,0,9,1 days 06:00:00,10
2020-02-16,7,7,0,7,0 days 21:00:00,7
2020-02-17,13,12,1,12,1 days 13:30:00,13
2020-02-18,4,5,0,4,0 days 15:00:00,5
2020-02-19,7,7,0,7,0 days 21:00:00,7
2020-02-20,0,0,0,0,0:00:00,0
2020-02-21,0,0,0,0,0:00:00,0
